Module,Language,Key,Value,Placeholders
"storefronts","ru","bulk.status","[RU] Status","[RU]"
"storefronts","ru","variants.lowStock","[RU] Low Stock","[RU]"
"storefronts","ru","variants.inStock","[RU] In Stock","[RU]"
"storefronts","ru","variants.Failed to update stock","[RU] Failed to update stock","[RU]"
"storefronts","ru","variants.csvImportSuccess","[RU] Csv Import Success","[RU]"
"storefronts","ru","variants.Failed to import CSV","[RU] Failed to import  C S V","[RU]"
"storefronts","ru","variants.a","[RU] A","[RU]"
"storefronts","ru","variants.Failed to export CSV","[RU] Failed to export  C S V","[RU]"
"storefronts","ru","variants.lowStockCount","[RU] Low Stock Count","[RU]"
"storefronts","ru","variants.outOfStockCount","[RU] Out Of Stock Count","[RU]"
"storefronts","ru","variants.searchPlaceholder","[RU] Search Placeholder","[RU]"
"storefronts","ru","variants.status","[RU] Status","[RU]"
"storefronts","ru","variants.allStatuses","[RU] All Statuses","[RU]"
"storefronts","ru","variants.attribute","[RU] Attribute","[RU]"
"storefronts","ru","variants.allAttributes","[RU] All Attributes","[RU]"
"storefronts","ru","variants.attributeValue","[RU] Attribute Value","[RU]"
"storefronts","ru","variants.allValues","[RU] All Values","[RU]"
"storefronts","ru","variants.clearSelection","[RU] Clear Selection","[RU]"
"storefronts","ru","variants.selected","[RU] Selected","[RU]"
"storefronts","ru","variants.add","[RU] Add","[RU]"
"storefronts","ru","variants.subtract","[RU] Subtract","[RU]"
"storefronts","ru","variants.setTo","[RU] Set To","[RU]"
"storefronts","ru","variants.apply","[RU] Apply","[RU]"
"storefronts","ru","variants.importing","[RU] Importing","[RU]"
"storefronts","ru","variants.importCSV","[RU] Import C S V","[RU]"
"storefronts","ru","variants.exporting","[RU] Exporting","[RU]"
"storefronts","ru","variants.exportCSV","[RU] Export C S V","[RU]"
"storefronts","ru","variants.saving","[RU] Saving","[RU]"
"storefronts","ru","variants.saveChanges","[RU] Save Changes","[RU]"
"storefronts","ru","variants.name","[RU] Name","[RU]"
"storefronts","ru","variants.sku","[RU] Sku","[RU]"
"storefronts","ru","variants.stock","[RU] Stock","[RU]"
"storefronts","ru","variants.updated_at","[RU] Updated_at","[RU]"
"storefronts","ru","variants.lastUpdated","[RU] Last Updated","[RU]"
"storefronts","ru","variants.noVariants","[RU] No Variants","[RU]"
"storefronts","ru","variants.noVariantsMatch","[RU] No Variants Match","[RU]"
"storefronts","ru","variants.noVariantsDescription","[RU] No Variants Description","[RU]"
"storefronts","ru","variants.tryDifferentFilters","[RU] Try Different Filters","[RU]"
"storefronts","ru","variants.availability","[RU] Availability","[RU]"
"storefronts","ru","variants.moreImages","[RU] More Images","[RU]"
"storefronts","ru","variants.Failed to generate variants","[RU] Failed to generate variants","[RU]"
"storefronts","ru","variants.title","[RU] Title","[RU]"
"storefronts","ru","variants.selectAttributesHelp","[RU] Select Attributes Help","[RU]"
"storefronts","ru","variants.generationSummary","[RU] Generation Summary","[RU]"
"storefronts","ru","variants.totalCombinations","[RU] Total Combinations","[RU]"
"storefronts","ru","variants.generating","[RU] Generating","[RU]"
"storefronts","ru","variants.Failed to update variant","[RU] Failed to update variant","[RU]"
"storefronts","ru","variants.acrossAllVariants","[RU] Across All Variants","[RU]"
"storefronts","ru","variants.variantsWithLowStock","[RU] Variants With Low Stock","[RU]"
"storefronts","ru","variants.variantsOutOfStock","[RU] Variants Out Of Stock","[RU]"
"storefronts","ru","variants.bulkStockOperations","[RU] Bulk Stock Operations","[RU]"
"storefronts","ru","variants.operation","[RU] Operation","[RU]"
"storefronts","ru","variants.amount","[RU] Amount","[RU]"
"storefronts","ru","variants.currentStock","[RU] Current Stock","[RU]"
"storefronts","ru","variants.noAnalytics","[RU] No Analytics","[RU]"
"storefronts","ru","variants.noAnalyticsDescription","[RU] No Analytics Description","[RU]"
"storefronts","ru","variants.totalSold","[RU] Total Sold","[RU]"
"storefronts","ru","variants.lowStockVariants","[RU] Low Stock Variants","[RU]"
"storefronts","ru","variants.bestSeller","[RU] Best Seller","[RU]"
"storefronts","ru","variants.stockByAttribute","[RU] Stock By Attribute","[RU]"
"storefronts","ru","variants.salesByAttribute","[RU] Sales By Attribute","[RU]"
"storefronts","ru","stockStatus.out_of_stock","[RU] Out_of_stock","[RU]"
"storefronts","ru","stockStatus.in_stock","[RU] In_stock","[RU]"
"storefronts","ru","stockStatus.low_stock","[RU] Low_stock","[RU]"
"storefronts","ru","tabs.attributes","[RU] Attributes","[RU]"
"storefronts","ru","tabs.variants","[RU] Variants","[RU]"
"storefronts","ru","tabs.stock","[RU] Stock","[RU]"
"storefronts","ru","tabs.analytics","[RU] Analytics","[RU]"
"storefronts","sr","products.noVariantAttributesForCategory","[SR] No Variant Attributes For Category","[SR]"
"storefronts","sr","products.categoryDoesNotSupportVariants","[SR] Category Does Not Support Variants","[SR]"
"storefronts","sr","products.selectValuesForVariants","[SR] Select Values For Variants","[SR]"
"storefronts","sr","products.affectsStock","[SR] Affects Stock","[SR]"
"storefronts","sr","products.attributesFromPreviousStep","[SR] Attributes From Previous Step","[SR]"
"storefronts","sr","products.stockSettings","[SR] Stock Settings","[SR]"
"storefronts","sr","products.defaultStockQuantity","[SR] Default Stock Quantity","[SR]"
